Time,Date,kwh
9am ,09-Feb-2014,1.102   
5pm ,15-Sep-2014,1.037  
11pm , 7-Dec-2014,0.446kwh
10pm ,25-Mar-2014,0.404kwh
7am ,11-Feb-2014,1.285  
9pm ,26-Mar-2014,0.475
12am , 7-Sep-2014,0.504kwh
10pm ,07-Jul-2014,1.056   
6pm ,14-May-2014,0.986kwh 
6pm ,24-Nov-2014,0.693kwh
5pm ,08-Jul-2014,3.307kwh 
9am ,22-Jul-2014,0.662   
2pm , 7-Jun-2014,1.195kwh  
9am ,29-Nov-2014,0.373
1am ,27-Jul-2014,0.828  
9am ,30-Aug-2014,0.994   
2pm , 4-May-2014,0.768kwh 
7am ,22-Jul-2014,2.268kwh 
1am , 1-Jun-2014,0.443 
4pm ,14-Oct-2014,0.288kwh
12pm ,24-Jan-2014,1.13kwh
3am ,23-Jul-2014,0.446   
8pm ,06-Feb-2014,2.131
12am ,23-Apr-2014,0.088  
12pm ,10-Sep-2014,0.322
2pm ,24-May-2014,0.602  
11pm ,15-Mar-2014,0.688   
5pm ,08-Feb-2014,1.091
6pm , 9-Aug-2014,2.268
4am ,28-Feb-2014,0.218 
8am ,27-Aug-2014,0.576
5am ,26-Mar-2014,0.95kwh
1pm , 9-Nov-2014,0.286 
6pm ,12-Jul-2014,4.32   
6pm , 9-Oct-2014,0.89kwh  
11am ,29-Mar-2014,0.408   
2pm ,11-Sep-2014,0.246  
2am ,15-Dec-2014,0.218kwh
9pm ,02-Nov-2014,0.289  
8am ,16-Apr-2014,0.138  
2pm ,13-May-2014,0.349kwh  
9pm ,04-Mar-2014,0.389 
10am ,10-Feb-2014,0.49
11pm ,25-Nov-2014,0.196  
3am ,28-Oct-2014,0.115kwh
4pm ,22-Jul-2014,0.893  
1pm ,30-Jan-2014,0.96   
11am ,14-Jan-2014,0.92kwh 
5pm ,12-Aug-2014,1.81  
12am ,01-Oct-2014,0.149  
2pm , 6-Aug-2014,0.499kwh
3am ,25-Nov-2014,0.076kwh  
4pm ,01-Jun-2014,1.669kwh  
4pm ,4-May-2014,0.713   
4am ,19-Apr-2014,0.081  
6pm ,05-Nov-2014,0.643 
11am ,17-Aug-2014,0.742 
5pm ,18-Oct-2014,0.459 
8pm ,13-Feb-2014,1.824
10am ,14-Jan-2014,0.648kwh  
9pm ,23-Aug-2014,0.533kwh 
11pm ,15-Jan-2014,0.86 
1am ,23-Nov-2014,0.147   
3am ,14-Apr-2014,0.064  
11pm ,03-Sep-2014,0.333
9pm ,25-Apr-2014,0.132kwh 
6pm ,31-Jan-2014,3.052kwh
5am ,17-Mar-2014,1.012 
5pm ,15-Mar-2014,0.742  
11am ,24-Jul-2014,1.32  
6pm ,29-Aug-2014,1.915  
9pm ,18-Mar-2014,0.504   
3am ,24-Oct-2014,0.113kwh  
4am ,13-Apr-2014,0.098 
3pm ,19-Jul-2014,2.527kwh  
3am ,13-Apr-2014,0.099   
9pm ,11-Dec-2014,0.772  
7am ,12-Aug-2014,0.961kwh  
10am , 5-Aug-2014,0.446
8pm ,12-May-2014,1.242 
1am ,13-Mar-2014,0.17
4am ,27-Aug-2014,0.24kwh  
11pm ,14-Dec-2014,0.55  
1am ,21-Dec-2014,0.323  
7pm ,01-May-2014,1.31kwh 
5pm ,04-Feb-2014,1.373kwh
7am ,20-May-2014,0.742 
10pm ,21-Dec-2014,0.583   
1am ,27-Sep-2014,0.189kwh  
12am ,24-Oct-2014,0.182  
5pm ,1-Feb-2014,1.285 
3pm ,07-Nov-2014,0.216 
3am ,01-Aug-2014,0.264   
8am ,10-Oct-2014,0.206kwh 
5pm , 9-Sep-2014,0.774 
8am ,30-Mar-2014,0.946
12am ,15-Jan-2014,0.618  
4pm ,19-Feb-2014,0.408 
1pm ,15-Feb-2014,0.655kwh  
11pm ,26-Jul-2014,2.328kwh
4am ,4-Jun-2014,0.428
11am , 2-Nov-2014,0.259kwh
6pm ,14-Nov-2014,0.687   
3pm ,24-May-2014,0.59kwh
6am ,07-Jul-2014,2.938kwh 
11am ,17-Apr-2014,0.122  
7am ,27-Feb-2014,1.091
1am ,26-Sep-2014,0.164
1pm ,11-May-2014,0.475kwh
5pm ,08-Oct-2014,0.733kwh
10am ,24-May-2014,0.451  
3am ,2-Aug-2014,0.367  
2am ,17-Sep-2014,0.115  
7am ,14-Aug-2014,0.95kwh
7am , 9-Nov-2014,0.632   
9am ,15-May-2014,0.197 
12am , 8-Aug-2014,0.367   
1am , 5-Oct-2014,0.211kwh
5pm , 3-Mar-2014,0.988 
5pm ,18-May-2014,0.619 
3pm ,14-Mar-2014,0.378kwh
5am ,04-Jul-2014,3.062kwh
7pm ,11-Jan-2014,3.888kwh  
3pm ,04-May-2014,0.605  
5am ,17-Dec-2014,1.004  
11pm ,28-Dec-2014,0.512
2pm ,17-Apr-2014,0.142  
7pm ,10-Feb-2014,2.117  
8am ,11-Jul-2014,0.902kwh 
5am , 8-Sep-2014,0.67  
12pm ,30-Mar-2014,0.408kwh  
7am ,16-Jun-2014,1.312
5pm ,31-Mar-2014,0.832kwh 
2am ,31-Mar-2014,0.162kwh
3am ,16-Dec-2014,0.24 
7pm ,22-Apr-2014,0.535 
4am ,16-Jun-2014,0.335   
6pm ,14-Oct-2014,0.781 
5pm , 8-Apr-2014,0.351kwh  
6pm ,15-Oct-2014,0.764  
2am , 6-Jan-2014,0.364 
8am ,30-Jun-2014,0.742kwh
3am ,13-May-2014,0.163kwh
8pm ,6-Oct-2014,1.008kwh  
7am ,19-Feb-2014,0.929kwh
8pm ,12-Oct-2014,0.961   
3am ,14-Dec-2014,0.37   
3am ,17-Apr-2014,0.051  
7pm ,17-Nov-2014,0.899
11am ,08-Aug-2014,0.636   
8pm , 2-Nov-2014,0.859 
2am ,26-Dec-2014,0.189kwh  
2am ,06-Sep-2014,0.218 
10am ,11-Jul-2014,0.864kwh
6am ,14-Feb-2014,1.44 
9pm , 6-Dec-2014,0.515kwh 
12am ,14-Feb-2014,0.32   
7pm ,13-Mar-2014,1.656 
3am ,04-Jun-2014,0.414  
7pm ,25-Dec-2014,1.881
12am ,24-Jun-2014,0.572   
3am ,11-Feb-2014,0.245  
5am ,18-Oct-2014,0.209 
2pm ,19-Sep-2014,0.277   
7am , 5-Feb-2014,1.048kwh  
8pm ,30-Oct-2014,0.912kwh 
3am ,18-May-2014,0.276kwh
2am , 4-Jun-2014,0.317kwh
11am ,11-Nov-2014,0.20 
7pm ,18-Apr-2014,0.556 
11pm ,23-Jun-2014,1.044  
11am , 9-Mar-2014,0.437kwh  
12am ,10-Apr-2014,0.104  
8pm ,10-Aug-2014,2.268  
2am ,3-Aug-2014,0.374kwh  
1pm , 6-Oct-2014,0.202   
4am ,20-Sep-2014,0.25
2am ,19-Jul-2014,0.828kwh
10pm ,23-Nov-2014,0.254  
12am ,20-Oct-2014,0.187 
4am ,17-Mar-2014,0.131  
9pm ,30-May-2014,0.368  
3pm ,9-Oct-2014,0.235kwh
11pm ,03-May-2014,0.776 
8pm ,25-Nov-2014,0.677 
9pm ,18-Sep-2014,0.504   
3am ,12-Sep-2014,0.147kwh 
1pm , 6-May-2014,0.346
2pm , 5-Nov-2014,0.209kwh
10am ,25-Jun-2014,0.778  
9pm ,22-Sep-2014,0.395 
9pm ,13-Oct-2014,0.382 
12pm ,11-Dec-2014,0.501 
7am ,20-Jul-2014,3.254kwh 
4pm ,07-Oct-2014,0.242
3pm ,31-Jul-2014,0.989
6pm , 1-Jun-2014,3.791   
5pm , 4-Jun-2014,2.738 
5pm ,22-Nov-2014,0.478
8pm ,23-May-2014,1.152kwh 
12pm ,11-Jun-2014,0.927  
9am , 4-Feb-2014,0.36   
7am , 6-Sep-2014,0.697kwh
4am ,01-Jul-2014,0.442   
10am ,29-Nov-2014,0.267kwh  
12am ,19-Feb-2014,0.292
6am ,27-Feb-2014,1.555 
1pm ,28-Aug-2014,0.499 
9pm ,26-May-2014,0.571kwh 
2am ,28-Apr-2014,0.058
4pm , 5-Sep-2014,0.322 
7pm ,13-Aug-2014,2.074  
10am ,21-Nov-2014,0.144kwh 
3am ,15-Jul-2014,0.384  
10pm ,04-Mar-2014,0.392 
11am ,22-Oct-2014,0.357   
10am ,16-Dec-2014,0.378   
9pm ,31-Jul-2014,1.382   
7am , 7-Apr-2014,0.321kwh
5am ,24-Sep-2014,0.793 
8am ,16-Oct-2014,0.216 
5pm ,15-Dec-2014,1.602   
6am ,28-Jun-2014,1.411 
8pm , 9-Dec-2014,1.69kwh
2pm ,10-May-2014,0.576kwh
12pm ,20-Mar-2014,0.476  
5am , 2-Jul-2014,2.825 
11am ,12-Dec-2014,0.506kwh
11pm ,16-Nov-2014,0.232  
10am ,03-May-2014,0.466kwh  
2am ,27-Jun-2014,0.389kwh
11am ,16-Feb-2014,0.641kwh
11am ,30-Apr-2014,0.18kwh 
10pm , 3-Jul-2014,1.20  
11am , 8-Dec-2014,0.512  
3am ,19-Dec-2014,0.176kwh  
12pm ,17-Sep-2014,0.371 
1am ,27-Dec-2014,0.33 
6pm ,27-Sep-2014,1.512kwh
3am ,31-Oct-2014,0.118kwh 
10am ,12-Dec-2014,0.493  
1am ,19-Mar-2014,0.165kwh 
5am ,22-Dec-2014,1.416kwh 
4am ,22-Nov-2014,0.15kwh  
8pm ,29-Aug-2014,1.882 
4am ,10-Aug-2014,0.41
5pm ,29-Dec-2014,1.516
2am ,18-May-2014,0.259
11pm ,27-Aug-2014,0.576kwh
7pm ,08-Jan-2014,3.492kwh
4am ,28-Dec-2014,0.376kwh
3pm ,25-Oct-2014,0.481kwh 
12pm ,23-Mar-2014,0.48 
8am ,03-Jul-2014,0.96 
11pm ,21-Mar-2014,0.928 
1pm ,30-Apr-2014,0.125 
3pm ,18-Dec-2014,0.493 
11pm ,10-Mar-2014,0.452   
2am ,25-Nov-2014,0.073  
5pm ,23-Nov-2014,0.381 
10pm ,11-Dec-2014,0.484  
9pm , 8-Jun-2014,0.983kwh 
4am ,12-Feb-2014,0.278 
1am ,31-May-2014,0.271
2pm ,14-Dec-2014,0.933  
8pm ,20-Jan-2014,3.648kwh
3pm , 1-Jun-2014,1.782  
6pm ,03-Nov-2014,0.687  
11pm ,22-Sep-2014,0.417 
5pm ,24-Aug-2014,1.112 
9am ,17-Jun-2014,0.61 
10am ,10-Jun-2014,0.698  
9am ,18-Sep-2014,0.179kwh 
3pm ,14-Sep-2014,0.643kwh  
8pm ,23-Jun-2014,2.592 
4pm ,14-Apr-2014,0.116 
8pm , 4-Nov-2014,0.814
12am ,25-Feb-2014,0.356  
4pm ,26-Dec-2014,0.422
10am ,17-Jul-2014,0.883   
3am ,26-May-2014,0.19kwh  
3am ,22-May-2014,0.146   
4pm ,20-Aug-2014,0.442 
2am ,8-Jul-2014,0.528kwh 
11am ,12-Aug-2014,0.714 
8pm , 1-Sep-2014,1.21  
2am , 7-Nov-2014,0.074
1am ,04-Jun-2014,0.313  
6am ,17-Oct-2014,0.727kwh 
6pm ,23-Nov-2014,0.948  
2am ,7-May-2014,0.134  
2pm ,28-Apr-2014,0.114 
12am ,19-Apr-2014,0.204kwh
9am ,17-Jul-2014,0.684  
10am ,10-Jul-2014,0.797  
8am ,24-Aug-2014,1.794  
7pm , 9-May-2014,1.685  
10pm ,10-Oct-2014,0.349   
12am ,25-Nov-2014,0.162 
5am ,21-Sep-2014,0.185  
8pm ,06-Dec-2014,2.218kwh 
9am ,14-Oct-2014,0.207kwh
1pm ,30-Dec-2014,0.392kwh 
10pm , 9-Nov-2014,0.25 
5am ,31-May-2014,0.216kwh 
11am ,24-Sep-2014,0.28  
3pm , 2-Oct-2014,0.245kwh 
2pm , 9-Sep-2014,0.291kwh 
2pm ,15-Dec-2014,0.409  
6pm ,31-Oct-2014,0.966kwh 
9pm ,16-Feb-2014,0.742kwh
11am , 1-Jan-2014,0.83  
11am ,27-May-2014,0.384kwh 
4am ,20-Jan-2014,0.468kwh 
8am ,27-Jul-2014,2.87kwh
4am ,10-Sep-2014,0.157 
4am ,23-Jun-2014,0.328kwh  
6am ,07-Aug-2014,1.339kwh 
7am ,05-Sep-2014,0.636kwh 
3pm , 8-Mar-2014,0.821   
11pm ,19-Nov-2014,0.191
1pm ,29-Dec-2014,0.497 
1am ,8-Mar-2014,0.245kwh  
2pm ,14-Feb-2014,0.571kwh  
8am ,10-Nov-2014,0.144
2pm ,29-Mar-2014,0.525  
10am ,16-Feb-2014,0.662   
5pm ,17-Apr-2014,0.468 
3pm ,08-Sep-2014,0.23 
12am ,11-Jun-2014,0.513kwh  
1am ,30-Apr-2014,0.068
4pm ,23-Dec-2014,0.361  
8pm ,09-Oct-2014,1.142kwh 
3am ,11-Dec-2014,0.229  
8am ,12-Dec-2014,0.431  
3pm ,21-Jul-2014,0.816kwh
12am ,18-Mar-2014,0.233 
1am ,16-May-2014,0.17 
12pm ,13-Mar-2014,0.48  
10am ,25-Jul-2014,1.085
8am , 7-Jun-2014,2.644kwh
7pm ,24-May-2014,1.714 
11pm ,19-Jun-2014,0.882  
1pm , 5-Apr-2014,0.193kwh 
3pm , 1-Sep-2014,0.255kwh  
5pm ,14-Feb-2014,1.404   
10am ,1-May-2014,0.256   
6am ,17-Mar-2014,0.864   
6am ,4-Sep-2014,0.823kwh
12pm ,17-Oct-2014,0.333kwh 
6pm ,04-Apr-2014,0.454kwh 
9am ,23-Oct-2014,0.162 
6am ,12-Oct-2014,0.432
5am ,12-Nov-2014,0.589 
2am ,12-May-2014,0.13 
3pm ,26-Apr-2014,0.286  
3am ,12-Aug-2014,0.226kwh
6pm ,25-Mar-2014,1.109kwh
11pm ,15-Jul-2014,0.96  
2pm ,22-May-2014,0.349   
4am ,13-Jan-2014,0.34kwh  
9am ,01-Apr-2014,0.078  
7am ,26-Jan-2014,1.968 
10am ,13-Sep-2014,0.399 
2pm ,16-Feb-2014,1.037kwh
5am ,31-Jul-2014,2.35 
6pm , 6-Oct-2014,0.697kwh 
5pm ,16-Nov-2014,0.409 
3am , 1-Apr-2014,0.064  
8am ,17-May-2014,1.144 
2pm , 3-Apr-2014,0.14 
7pm ,21-Oct-2014,1.015kwh 
5pm ,12-Nov-2014,0.673kwh 
6am ,28-Jul-2014,2.765  
7am ,15-Jun-2014,2.117   
8pm ,13-Oct-2014,0.874
12am ,1-Feb-2014,0.922 
11pm ,25-Oct-2014,0.588  
12pm ,13-Aug-2014,0.546   
10pm ,13-Dec-2014,0.444  
6pm ,21-Nov-2014,0.674  
1pm ,7-Aug-2014,0.499kwh
11pm ,16-Aug-2014,1.008  
6am ,09-May-2014,1.123  
6pm ,27-Jun-2014,2.47kwh 
8pm ,02-Sep-2014,1.176kwh
5pm ,7-Sep-2014,0.605kwh  
1am , 5-Jun-2014,0.414  
7am ,18-Mar-2014,0.742kwh 
7am ,25-Dec-2014,0.851kwh  
10pm ,02-Jul-2014,1.116  
3pm ,21-Nov-2014,0.164kwh
4am ,26-Jun-2014,0.418kwh
12am ,14-Nov-2014,0.146   
3am ,06-Aug-2014,0.214kwh 
11pm ,25-Sep-2014,0.294 
2pm ,18-Oct-2014,0.509kwh 
1am , 8-May-2014,0.19   
4am ,15-Dec-2014,0.20 
2pm ,5-Aug-2014,0.432 
12am ,28-Jul-2014,0.626kwh
7pm ,23-Apr-2014,0.454
4pm ,6-Jul-2014,1.987 
3pm ,16-May-2014,0.349  
3pm , 6-Jul-2014,1.814 
9pm ,20-Aug-2014,0.67   
5pm ,05-Dec-2014,1.473 
11pm ,2-Sep-2014,0.343  
2am ,13-May-2014,0.146  
4am ,31-Jul-2014,0.456kwh
8am ,24-Nov-2014,0.20 
9pm ,28-Dec-2014,0.719
9am ,28-Jun-2014,1.685   
8am ,13-Dec-2014,1.544kwh  
9am ,01-Jan-2014,0.51 
5am ,08-Apr-2014,0.389   
4pm , 6-Sep-2014,0.617 
3am , 2-Jun-2014,0.389 
8pm , 9-Apr-2014,0.475kwh 
3am ,05-Sep-2014,0.125kwh
12am ,20-Sep-2014,0.538 
12pm ,31-Mar-2014,0.476kwh
11pm , 7-Oct-2014,0.258kwh  
8pm ,17-Oct-2014,0.864kwh 
5am ,21-Jan-2014,2.508 
7am ,25-Jul-2014,1.987 
4pm ,19-Oct-2014,0.643kwh
3am ,21-Apr-2014,0.061
5am ,28-Oct-2014,0.64  
8am , 8-Aug-2014,0.394  
2pm ,23-Mar-2014,0.768
5am ,28-Jan-2014,1.98 
1am ,02-Sep-2014,0.113  
3pm ,15-Jun-2014,1.912   
3pm ,28-Mar-2014,0.259kwh 
4pm ,12-Sep-2014,0.255kwh
5pm ,26-Oct-2014,0.486 
5am ,19-Jun-2014,1.98   
1pm ,27-Dec-2014,0.601
5am , 8-Oct-2014,0.693  
4pm ,27-May-2014,0.31   
3am ,17-Jun-2014,0.31kwh 
1am ,15-Jul-2014,0.475
12pm ,25-Oct-2014,0.378
5pm , 1-Dec-2014,1.401  
4am ,14-Jun-2014,0.508
10pm ,09-Oct-2014,0.267kwh 
1pm ,23-May-2014,0.358 
6pm , 8-Oct-2014,0.941kwh  
6am ,8-Sep-2014,0.949kwh  
3pm ,29-Jun-2014,1.782 
7am ,22-Dec-2014,1.04  
12am ,22-Jul-2014,0.842   
4am , 2-Jul-2014,0.413kwh  
7am ,26-Sep-2014,0.624kwh  
5pm ,20-Oct-2014,0.663  
10pm ,22-May-2014,0.468kwh  
5pm ,11-Dec-2014,1.487 
5am ,31-Jan-2014,1.848   
4am ,19-Jul-2014,0.828  
10am ,17-Feb-2014,0.475   
6am ,06-Feb-2014,1.67
7pm ,18-Jul-2014,3.672
1am ,06-Jun-2014,0.306kwh  
3pm ,18-Jan-2014,1.638kwh
4am ,26-Oct-2014,0.167  
4pm ,26-Oct-2014,0.594  
5am , 5-Jan-2014,0.618  
6am ,18-Mar-2014,1.142kwh  
7am , 8-Jul-2014,2.16  
12pm ,02-Jul-2014,1.32  
9am ,19-Aug-2014,0.295  
9am ,2-Feb-2014,1.112kwh 
7pm ,06-May-2014,1.339   
10am ,27-Jun-2014,0.778  
5am ,28-Jul-2014,2.402
1am , 7-May-2014,0.144
12pm ,19-Oct-2014,0.295kwh 
7pm ,13-Oct-2014,1.069
6am ,10-Sep-2014,0.941kwh
11am ,23-Jan-2014,1.20  
2am ,20-Oct-2014,0.13   
3pm ,28-Aug-2014,0.566
6pm ,26-Feb-2014,1.344  
12pm ,01-Sep-2014,0.294kwh
12am ,10-Aug-2014,0.768
12pm ,30-Sep-2014,0.322  
1pm ,15-Sep-2014,0.23 
10am ,30-Oct-2014,0.281
5am ,24-Aug-2014,0.349kwh  
6pm ,14-Jun-2014,3.143  
12am , 6-Mar-2014,0.257   
8pm ,11-Sep-2014,1.333  
3am ,4-Sep-2014,0.12
6am ,21-May-2014,0.826  
2am , 2-Jun-2014,0.292
9am ,6-Mar-2014,0.242  
3pm ,16-Sep-2014,0.333kwh  
10am ,25-May-2014,0.437kwh 
2pm ,12-Mar-2014,0.32kwh  
2pm ,07-Apr-2014,0.142  
11pm ,10-Jan-2014,1.62   
12pm ,22-Sep-2014,0.35kwh  
2pm , 5-Feb-2014,0.562kwh 
7pm ,05-Mar-2014,1.714 
9pm ,15-Jan-2014,1.368   
10am ,22-Sep-2014,0.288kwh 
8am ,23-Oct-2014,0.283
9pm ,31-Jan-2014,0.76
9am ,21-Nov-2014,0.112 
2am ,7-Jan-2014,0.416  
11am ,5-Sep-2014,0.378kwh 
1am ,23-Dec-2014,0.242  
2pm ,17-Nov-2014,0.184  
12am ,19-May-2014,0.288kwh  
7pm ,15-Oct-2014,1.134 
11pm ,17-Oct-2014,0.552   
4am , 7-Oct-2014,0.108 
10am ,15-Mar-2014,0.49
1pm ,21-Jul-2014,0.806  
6am ,21-Apr-2014,0.313  
6am , 6-Aug-2014,1.57 
10pm ,28-Aug-2014,0.678kwh  
8am ,24-Jun-2014,0.806
12am ,15-Apr-2014,0.09   
4am ,24-May-2014,0.235 
11am ,15-Aug-2014,0.672  
2pm ,08-Nov-2014,0.306kwh  
6am ,28-May-2014,1.008  
5am ,26-Aug-2014,1.214  
4pm , 7-Sep-2014,0.662kwh  
4am ,15-Jan-2014,0.444 
5pm ,17-Jun-2014,1.966  
1am , 1-Aug-2014,0.266   
1pm ,17-Nov-2014,0.164
6pm ,27-Oct-2014,0.966   
8pm ,22-Sep-2014,0.963kwh 
8am ,17-Jun-2014,0.713  
9am ,13-Sep-2014,0.68  
10pm , 3-Dec-2014,0.512kwh  
7pm ,19-Aug-2014,2.506kwh
9pm ,02-Apr-2014,0.178 
1am ,12-Aug-2014,0.223  
4am ,30-Oct-2014,0.136 
10am ,12-Nov-2014,0.158kwh 
1am ,28-Oct-2014,0.142kwh  
6pm , 5-May-2014,1.243   
9pm ,19-Oct-2014,0.331  
9am ,24-Oct-2014,0.198   
11am ,26-Aug-2014,0.534  
9am ,21-Jul-2014,0.706   
7pm , 1-Nov-2014,0.842kwh 
7pm ,10-Sep-2014,1.424  
5pm ,26-Apr-2014,0.275
4am , 8-Jul-2014,0.509  
8am ,06-Jul-2014,3.65  
3am ,09-Dec-2014,0.238   
6pm , 1-Jan-2014,2.856kwh  
7am ,25-Oct-2014,0.821kwh  
8pm ,21-Apr-2014,0.475
6pm , 1-Mar-2014,1.57  
4pm ,25-Aug-2014,0.47
8pm ,10-Oct-2014,1.075 
4pm ,06-Dec-2014,1.109 
11pm ,19-Feb-2014,0.588  
1pm ,19-Sep-2014,0.244
11am ,12-Apr-2014,0.148 
1am ,29-Apr-2014,0.071 
8am , 1-Dec-2014,0.51kwh
1am ,21-Aug-2014,0.264  
3am ,27-Aug-2014,0.252kwh  
12pm ,18-Jul-2014,1.068
8am ,02-Nov-2014,0.597kwh  
1am , 3-Sep-2014,0.168kwh 
1pm ,22-Jan-2014,0.768
8pm ,26-Apr-2014,0.502  
4pm ,21-Jan-2014,0.696kwh
8pm , 3-May-2014,1.238kwh
6am , 5-Jul-2014,1.574kwh 
10am ,11-Apr-2014,0.108  
1pm ,12-Jul-2014,1.325  
8pm ,26-Dec-2014,1.654kwh  
6pm ,22-Sep-2014,0.813 
3pm ,06-Sep-2014,0.58  
2am ,23-Jan-2014,0.332   
12pm ,04-Jun-2014,0.882 
12pm ,22-Jan-2014,0.85kwh
10pm ,14-Sep-2014,0.305   
5pm ,25-Feb-2014,1.607kwh  
9am ,26-Mar-2014,0.197kwh
9am ,30-Jun-2014,0.551
10pm ,12-Apr-2014,0.119
8am ,9-Feb-2014,1.716kwh 
11am , 1-Sep-2014,0.392kwh  
10am ,27-Apr-2014,0.205  
7pm ,10-Jul-2014,4.363kwh 
11pm , 7-Jun-2014,1.602 
3pm ,13-Nov-2014,0.153kwh 
10pm ,27-Jun-2014,1.474  
10pm ,17-Jun-2014,0.927
6am ,11-Mar-2014,1.046  
12pm ,12-Jan-2014,1.056kwh
10am ,16-Sep-2014,0.238kwh 
1am ,16-Nov-2014,0.147
1am ,13-Nov-2014,0.092kwh
2am ,25-Apr-2014,0.049 
2pm ,30-May-2014,0.288 
1am ,25-Dec-2014,0.233kwh 
9pm ,31-Aug-2014,0.799   
8am ,28-Jul-2014,1.027  
9pm ,17-Sep-2014,0.424
11pm ,17-Aug-2014,0.552
9pm ,15-Oct-2014,0.338kwh 
4pm ,01-Feb-2014,1.037   
10am , 9-Dec-2014,0.462kwh 
5pm ,7-Apr-2014,0.316 
6am ,27-Nov-2014,0.61kwh
8am ,18-Apr-2014,0.116kwh 
4pm ,17-Sep-2014,0.249 
4pm ,28-Sep-2014,0.523
3am ,12-Mar-2014,0.173kwh  
11am , 9-Jan-2014,1.05 
5am ,12-Jul-2014,0.749  
8pm ,11-Mar-2014,1.05kwh 
10am ,26-Dec-2014,0.37kwh  
4am ,05-Jan-2014,0.522  
11pm ,13-Nov-2014,0.234kwh  
11am ,18-Oct-2014,0.31
8am ,19-Oct-2014,0.811 
8am ,22-Nov-2014,0.614  
10am ,23-Dec-2014,0.374kwh
10pm ,24-Apr-2014,0.168kwh
4pm ,13-Jul-2014,2.03kwh  
7pm , 8-Jul-2014,3.586  
12am ,07-Apr-2014,0.073  
4pm , 2-Aug-2014,1.264kwh 
5pm , 9-Jan-2014,2.496  
5pm ,16-Mar-2014,0.727 
1am ,20-Sep-2014,0.223
3pm ,11-Feb-2014,0.437kwh  
1am ,21-Apr-2014,0.05 
9pm , 7-Dec-2014,0.607 
9am ,13-Nov-2014,0.112kwh
7pm ,09-Dec-2014,2.00kwh
6pm ,31-Aug-2014,1.793kwh 
8am ,28-Jan-2014,0.712  
1pm ,27-Nov-2014,0.155 
11pm ,09-Dec-2014,0.451  
9pm ,25-Mar-2014,0.557kwh
3am ,11-Sep-2014,0.134kwh
8pm ,18-Feb-2014,1.901 
11am , 2-Mar-2014,0.451kwh
12am , 4-May-2014,0.589   
8am , 9-Sep-2014,0.272kwh 
2am , 9-Dec-2014,0.202  
2pm ,21-Feb-2014,0.514  
11am ,22-Dec-2014,0.567 
4pm ,14-Jun-2014,1.814
6pm ,11-Jan-2014,4.032 
9am , 3-Aug-2014,1.123kwh
12am ,30-Dec-2014,0.323 
5pm ,15-Jul-2014,2.496kwh 
4am ,18-Jul-2014,0.557  
7am ,10-May-2014,0.845 
2pm ,22-Sep-2014,0.308kwh
10pm , 9-Jan-2014,1.03   
6pm ,18-Nov-2014,0.58 
6am ,01-Dec-2014,1.056kwh
8am ,29-Sep-2014,0.308  
3am ,26-Oct-2014,0.184   
5am ,11-Jul-2014,2.983kwh
3am , 9-Jun-2014,0.353kwh 
12pm ,06-Oct-2014,0.324kwh
6pm ,18-Dec-2014,1.34  
12am , 9-Dec-2014,0.30kwh  
11pm ,18-Oct-2014,0.606 
8am , 9-Dec-2014,0.44  
8am ,31-Aug-2014,1.872 
3pm ,24-Jan-2014,0.904kwh
2am ,27-Dec-2014,0.376  
12am , 9-Apr-2014,0.077
5pm , 5-Oct-2014,0.437kwh  
4am ,27-Dec-2014,0.274 
5pm ,12-Dec-2014,1.687kwh  
11pm ,21-Feb-2014,1.092 
3pm , 3-Jun-2014,0.619kwh 
8pm ,10-May-2014,1.368 
7pm , 2-May-2014,1.181  
4pm ,15-Mar-2014,0.67kwh
4pm ,23-Jul-2014,1.027kwh 
6pm ,13-Apr-2014,0.621kwh 
8am ,21-Oct-2014,0.247kwh 
11pm , 9-Mar-2014,0.344kwh  
8am ,24-Dec-2014,0.374  
3pm ,18-Jul-2014,1.094 
9pm , 7-Nov-2014,0.216 
3am , 4-Dec-2014,0.231 
9pm ,12-May-2014,0.552 
8pm ,18-Aug-2014,1.824  
4am ,28-Mar-2014,0.19  
11pm ,02-Dec-2014,0.484 
7am ,15-Aug-2014,1.004
2am ,28-Jul-2014,0.566
10pm , 3-Aug-2014,0.486  
4am ,05-Oct-2014,0.158  
2pm ,16-Mar-2014,0.749  
10pm ,15-Dec-2014,0.556 
7pm ,16-May-2014,1.454 
7pm ,17-Jun-2014,3.143kwh  
7am ,11-Jun-2014,1.863  
3am ,16-Mar-2014,0.209  
7am , 7-Dec-2014,1.426kwh 
1pm , 6-Dec-2014,0.594kwh  
7am ,03-Apr-2014,0.275
1pm ,28-Jun-2014,0.875   
1pm ,20-Oct-2014,0.254
7pm ,26-Aug-2014,2.182
8am ,29-Oct-2014,0.269  
5pm ,23-May-2014,1.009kwh 
2pm ,05-Apr-2014,0.283
5am ,28-Nov-2014,0.48
9am ,11-Jun-2014,0.567 
1am , 5-May-2014,0.141
12am , 9-Nov-2014,0.299  
5pm ,03-Nov-2014,0.491  
5pm ,19-May-2014,1.102kwh  
9am ,08-Jul-2014,0.864 
3pm ,23-Oct-2014,0.202 
11pm , 6-Aug-2014,0.534 
4pm ,03-May-2014,0.85   
5am ,23-Jul-2014,2.429
7pm ,7-Jun-2014,2.786
